clientReference,accountReference,effectiveDateTime,iban,paymentType,paymentSubtype
32948,332948,2016-02-03,348,Wire,Wire In
32949,332949,2016-02-02,349,Customer Contact,Phone Number
32950,332950,2016-02-01,350,Crypto Transfers,Transfer in
32951,332951,2016-01-31,351,Crypto Transfers,Transfer in
32952,332952,2016-01-30,352,Wire,Wire In
32953,332953,2016-01-29,353,Wire,Wire Out
32954,332954,2016-01-28,354,Customer Contact,Address
32955,332955,2016-01-27,355,ACAT,ACAT Out
32956,332956,2016-01-26,356,ACAT,ACAT Out
32957,332957,2016-01-25,357,ACH,ACH Out
32958,332958,2016-01-24,358,ACH,ACH In
32959,332959,2016-01-23,359,ACH,ACH In
32960,332960,2016-01-22,360,ACH,ACH Out
32961,332961,2016-01-21,361,Wire,Wire Out
32962,332962,2016-01-20,362,ACAT,ACAT In
32963,332963,2016-01-19,363,Wire,Wire Out
32964,332964,2016-01-18,364,Crypto Transfers,Transfer in
32965,332965,2016-01-17,365,Wire,Wire Out
32966,332966,2016-01-16,366,Crypto Transfers,Transfer in
32967,332967,2016-01-15,367,ACAT,ACAT Out
32968,332968,2016-01-14,368,ACAT,ACAT Out
32969,332969,2016-01-13,369,ACH,ACH In
32970,332970,2016-01-12,370,ACH,ACH Out
32971,332971,2016-01-11,371,ACH,ACH In
32972,332972,2016-01-10,372,ACAT,ACAT Out
32973,332973,2016-01-09,373,Wire,Wire In
32974,332974,2016-01-08,374,ACAT,ACAT Out
32975,332975,2016-01-07,375,Wire,Wire Out
32976,332976,2016-01-06,376,Crypto Transfers,Transfer in
32977,332977,2016-01-05,377,ACAT,ACAT Out
32978,332978,2016-01-04,378,Crypto Transfers,Transfer in
32979,332979,2016-01-03,379,ACH,ACH Out
32980,332980,2016-01-02,380,Customer Contact,E-mail
32981,332981,2016-01-01,381,ACAT,ACAT Out
32982,332982,2015-12-31,382,Crypto Transfers,Transfer out
32983,332983,2015-12-30,383,ACAT,ACAT In
32984,332984,2015-12-29,384,Customer Contact,Name
32985,332985,2015-12-28,385,Crypto Transfers,Transfer in
32986,332986,2015-12-27,386,Wire,Wire In
32987,332987,2015-12-26,387,Customer Contact,E-mail
32988,332988,2015-12-25,388,ACH,ACH In
32989,332989,2015-12-24,389,ACH,ACH Out
32990,332990,2015-12-23,390,Crypto Transfers,Transfer in
32991,332991,2015-12-22,391,Customer Contact,E-mail
32992,332992,2015-12-21,392,Customer Contact,Address
32993,332993,2015-12-20,393,Wire,Wire In
32994,332994,2015-12-19,394,Wire,Wire In
32995,332995,2015-12-18,395,ACAT,ACAT Out
32996,332996,2015-12-17,396,ACAT,ACAT Out
32997,332997,2015-12-16,397,ACH,ACH Out
32998,332998,2015-12-15,398,Wire,Wire Out
32999,332999,2015-12-14,399,Customer Contact,E-mail
33000,333000,2015-12-13,400,ACAT,ACAT Out
33001,333001,2015-12-12,401,ACAT,ACAT Out
33002,333002,2015-12-11,402,ACAT,ACAT Out
33003,333003,2015-12-10,403,ACAT,ACAT Out
33004,333004,2015-12-09,404,ACAT,ACAT In
33005,333005,2015-12-08,405,Customer Contact,Phone Number
33006,333006,2015-12-07,406,ACAT,ACAT In
33007,333007,2015-12-06,407,ACH,ACH In
33008,333008,2015-12-05,408,Wire,Wire In
33009,333009,2015-12-04,409,Customer Contact,E-mail
33010,333010,2015-12-03,410,ACAT,ACAT In
33011,333011,2015-12-02,411,ACAT,ACAT In
33012,333012,2015-12-01,412,ACAT,ACAT Out
33013,333013,2015-11-30,413,Crypto Transfers,Transfer out
33014,333014,2015-11-29,414,Customer Contact,E-mail
33015,333015,2015-11-28,415,Crypto Transfers,Transfer out
33016,333016,2015-11-27,416,Crypto Transfers,Transfer in
33017,333017,2015-11-26,417,Crypto Transfers,Transfer in
33018,333018,2015-11-25,418,ACAT,ACAT In
33019,333019,2015-11-24,419,ACAT,ACAT In
33020,333020,2015-11-23,420,Crypto Transfers,Transfer out
33021,333021,2015-11-22,421,ACH,ACH In
33022,333022,2015-11-21,422,ACH,ACH Out
33023,333023,2015-11-20,423,Wire,Wire Out
33024,333024,2015-11-19,424,Crypto Transfers,Transfer in
33025,333025,2015-11-18,425,Wire,Wire Out
33026,333026,2015-11-17,426,Customer Contact,Phone Number
33027,333027,2015-11-16,427,ACH,ACH Out
33028,333028,2015-11-15,428,Wire,Wire In
33029,333029,2015-11-14,429,Wire,Wire In
33030,333030,2015-11-13,430,ACH,ACH Out
33031,333031,2015-11-12,431,Crypto Transfers,Transfer in
33032,333032,2015-11-11,432,ACAT,ACAT In
33033,333033,2015-11-10,433,Customer Contact,E-mail
33034,333034,2015-11-09,434,Crypto Transfers,Transfer in
33035,333035,2015-11-08,435,Wire,Wire Out
33036,333036,2015-11-07,436,Crypto Transfers,Transfer out
33037,333037,2015-11-06,437,Customer Contact,Name
33038,333038,2015-11-05,438,Customer Contact,Name
33039,333039,2015-11-04,439,Wire,Wire In
33040,333040,2015-11-03,440,Crypto Transfers,Transfer in
33041,333041,2015-11-02,441,ACAT,ACAT In
33042,333042,2015-11-01,442,ACH,ACH In
33043,333043,2015-10-31,443,Wire,Wire Out
33044,333044,2015-10-30,444,Wire,Wire In
33045,333045,2015-10-29,445,Crypto Transfers,Transfer in
33046,333046,2015-10-28,446,ACH,ACH Out
33047,333047,2015-10-27,447,Wire,Wire Out
33048,333048,2015-10-26,448,Wire,Wire In
33049,333049,2015-10-25,449,Crypto Transfers,Transfer out
33050,333050,2015-10-24,450,Customer Contact,Name
33051,333051,2015-10-23,451,Customer Contact,E-mail
33052,333052,2015-10-22,452,Crypto Transfers,Transfer out
33053,333053,2015-10-21,453,Crypto Transfers,Transfer in
33054,333054,2015-10-20,454,Wire,Wire Out
33055,333055,2015-10-19,455,Customer Contact,E-mail
33056,333056,2015-10-18,456,ACH,ACH In
33057,333057,2015-10-17,457,Customer Contact,Address
33058,333058,2015-10-16,458,Customer Contact,E-mail
33059,333059,2015-10-15,459,ACH,ACH Out
33060,333060,2015-10-14,460,ACAT,ACAT Out
33061,333061,2015-10-13,461,Customer Contact,E-mail
33062,333062,2015-10-12,462,Crypto Transfers,Transfer in
33063,333063,2015-10-11,463,Wire,Wire Out
33064,333064,2015-10-10,464,Customer Contact,Address
33065,333065,2015-10-09,465,Crypto Transfers,Transfer out
33066,333066,2015-10-08,466,Customer Contact,E-mail
33067,333067,2015-10-07,467,Crypto Transfers,Transfer in
33068,333068,2015-10-06,468,Wire,Wire Out
33069,333069,2015-10-05,469,Customer Contact,Address
33070,333070,2015-10-04,470,Crypto Transfers,Transfer out
33071,333071,2015-10-03,471,Wire,Wire In
33072,333072,2015-10-02,472,ACAT,ACAT Out
33073,333073,2015-10-01,473,ACAT,ACAT In
33074,333074,2015-09-30,474,Wire,Wire Out
33075,333075,2015-09-29,475,Customer Contact,Address
33076,333076,2015-09-28,476,ACH,ACH Out
33077,333077,2015-09-27,477,Customer Contact,Address
33078,333078,2015-09-26,478,Crypto Transfers,Transfer in
33079,333079,2015-09-25,479,Wire,Wire In
33080,333080,2015-09-24,480,Crypto Transfers,Transfer out
33081,333081,2015-09-23,481,ACAT,ACAT In
33082,333082,2015-09-22,482,ACAT,ACAT In
33083,333083,2015-09-21,483,Customer Contact,Phone Number
33084,333084,2015-09-20,484,Wire,Wire In
33085,333085,2015-09-19,485,Wire,Wire Out
33086,333086,2015-09-18,486,Crypto Transfers,Transfer out
33087,333087,2015-09-17,487,Crypto Transfers,Transfer out
33088,333088,2015-09-16,488,Crypto Transfers,Transfer in
33089,333089,2015-09-15,489,ACH,ACH In
33090,333090,2015-09-14,490,Crypto Transfers,Transfer out
33091,333091,2015-09-13,491,Crypto Transfers,Transfer out
33092,333092,2015-09-12,492,Crypto Transfers,Transfer out
33093,333093,2015-09-11,493,ACH,ACH In
33094,333094,2015-09-10,494,ACH,ACH In
33095,333095,2015-09-09,495,Customer Contact,Phone Number
33096,333096,2015-09-08,496,Crypto Transfers,Transfer out
33097,333097,2015-09-07,497,ACH,ACH In
33098,333098,2015-09-06,498,Wire,Wire In
33099,333099,2015-09-05,499,Wire,Wire Out
33100,333100,2015-09-04,500,Customer Contact,Phone Number
33101,333101,2015-09-03,501,ACAT,ACAT In
33102,333102,2015-09-02,502,Customer Contact,Address
33103,333103,2015-09-01,503,Wire,Wire Out
33104,333104,2015-08-31,504,Crypto Transfers,Transfer out
33105,333105,2015-08-30,505,Customer Contact,E-mail
33106,333106,2015-08-29,506,Crypto Transfers,Transfer out
33107,333107,2015-08-28,507,Wire,Wire In
33108,333108,2015-08-27,508,ACAT,ACAT In
33109,333109,2015-08-26,509,Customer Contact,Phone Number
33110,333110,2015-08-25,510,ACH,ACH Out
33111,333111,2015-08-24,511,ACAT,ACAT In
33112,333112,2015-08-23,512,Customer Contact,E-mail
33113,333113,2015-08-22,513,ACH,ACH Out
33114,333114,2015-08-21,514,ACH,ACH In
33115,333115,2015-08-20,515,Customer Contact,Phone Number
33116,333116,2015-08-19,516,Customer Contact,E-mail
33117,333117,2015-08-18,517,Customer Contact,Name
33118,333118,2015-08-17,518,ACH,ACH In
33119,333119,2015-08-16,519,Customer Contact,Name
33120,333120,2015-08-15,520,ACH,ACH Out
33121,333121,2015-08-14,521,ACH,ACH Out
33122,333122,2015-08-13,522,Crypto Transfers,Transfer in
33123,333123,2015-08-12,523,ACAT,ACAT Out
33124,333124,2015-08-11,524,Wire,Wire In
33125,333125,2015-08-10,525,Customer Contact,E-mail
33126,333126,2015-08-09,526,Crypto Transfers,Transfer out
33127,333127,2015-08-08,527,Customer Contact,Phone Number
33128,333128,2015-08-07,528,Wire,Wire In
33129,333129,2015-08-06,529,ACAT,ACAT In
33130,333130,2015-08-05,530,Customer Contact,Address
33131,333131,2015-08-04,531,Crypto Transfers,Transfer in
33132,333132,2015-08-03,532,Crypto Transfers,Transfer in
33133,333133,2015-08-02,533,ACAT,ACAT Out
33134,333134,2015-08-01,534,ACH,ACH Out
33135,333135,2015-07-31,535,Wire,Wire Out
33136,333136,2015-07-30,536,ACAT,ACAT Out
33137,333137,2015-07-29,537,ACH,ACH Out
33138,333138,2015-07-28,538,Wire,Wire In
33139,333139,2015-07-27,539,Wire,Wire In
33140,333140,2015-07-26,540,ACH,ACH In
33141,333141,2015-07-25,541,ACAT,ACAT Out
33142,333142,2015-07-24,542,Customer Contact,Name
33143,333143,2015-07-23,543,Wire,Wire Out
33144,333144,2015-07-22,544,Wire,Wire Out
33145,333145,2015-07-21,545,Wire,Wire Out
33146,333146,2015-07-20,546,ACAT,ACAT Out
33147,333147,2015-07-19,547,Wire,Wire In
33148,333148,2015-07-18,548,Wire,Wire In
33149,333149,2015-07-17,549,Customer Contact,Name
33150,333150,2015-07-16,550,ACH,ACH In
33151,333151,2015-07-15,551,ACAT,ACAT Out
33152,333152,2015-07-14,552,Customer Contact,Phone Number
33153,333153,2015-07-13,553,ACAT,ACAT Out
33154,333154,2015-07-12,554,Customer Contact,E-mail
33155,333155,2015-07-11,555,Customer Contact,Name
33156,333156,2015-07-10,556,ACH,ACH Out
33157,333157,2015-07-09,557,Customer Contact,Address
33158,333158,2015-07-08,558,Customer Contact,E-mail
33159,333159,2015-07-07,559,ACAT,ACAT In
33160,333160,2015-07-06,560,ACH,ACH In
33161,333161,2015-07-05,561,Wire,Wire Out
33162,333162,2015-07-04,562,Customer Contact,E-mail
33163,333163,2015-07-03,563,Customer Contact,Name
33164,333164,2015-07-02,564,Crypto Transfers,Transfer out
33165,333165,2015-07-01,565,Crypto Transfers,Transfer in
33166,333166,2015-06-30,566,Wire,Wire Out
33167,333167,2015-06-29,567,ACAT,ACAT Out
33168,333168,2015-06-28,568,ACH,ACH Out
33169,333169,2015-06-27,569,ACAT,ACAT In
33170,333170,2015-06-26,570,Crypto Transfers,Transfer out
33171,333171,2015-06-25,571,ACH,ACH In
33172,333172,2015-06-24,572,ACH,ACH In
33173,333173,2015-06-23,573,ACH,ACH Out
33174,333174,2015-06-22,574,ACAT,ACAT In
33175,333175,2015-06-21,575,Wire,Wire In
33176,333176,2015-06-20,576,Crypto Transfers,Transfer out
33177,333177,2015-06-19,577,Customer Contact,Phone Number
33178,333178,2015-06-18,578,Wire,Wire In
33179,333179,2015-06-17,579,Customer Contact,E-mail
33180,333180,2015-06-16,580,ACH,ACH Out
33181,333181,2015-06-15,581,Wire,Wire In
33182,333182,2015-06-14,582,Wire,Wire Out
33183,333183,2015-06-13,583,ACH,ACH Out
33184,333184,2015-06-12,584,Customer Contact,Name
33185,333185,2015-06-11,585,Customer Contact,Name
33186,333186,2015-06-10,586,Crypto Transfers,Transfer in
33187,333187,2015-06-09,587,Customer Contact,Address
33188,333188,2015-06-08,588,ACAT,ACAT Out
33189,333189,2015-06-07,589,Wire,Wire In
33190,333190,2015-06-06,590,Wire,Wire Out
33191,333191,2015-06-05,591,ACAT,ACAT In
33192,333192,2015-06-04,592,ACAT,ACAT In
33193,333193,2015-06-03,593,ACAT,ACAT In
33194,333194,2015-06-02,594,Wire,Wire In
33195,333195,2015-06-01,595,Customer Contact,Name
33196,333196,2015-05-31,596,Customer Contact,E-mail
33197,333197,2015-05-30,597,ACH,ACH In
33198,333198,2015-05-29,598,ACH,ACH In
33199,333199,2015-05-28,599,ACAT,ACAT Out
33200,333200,2015-05-27,600,Customer Contact,Phone Number
33201,333201,2015-05-26,601,ACH,ACH Out
33202,333202,2015-05-25,602,Wire,Wire Out
33203,333203,2015-05-24,603,Crypto Transfers,Transfer in
33204,333204,2015-05-23,604,Crypto Transfers,Transfer out
33205,333205,2015-05-22,605,Customer Contact,Address
33206,333206,2015-05-21,606,Customer Contact,Phone Number
33207,333207,2015-05-20,607,ACH,ACH In
33208,333208,2015-05-19,608,Customer Contact,Address
33209,333209,2015-05-18,609,Customer Contact,Name
33210,333210,2015-05-17,610,Wire,Wire In
33211,333211,2015-05-16,611,Wire,Wire In
33212,333212,2015-05-15,612,Wire,Wire In
33213,333213,2015-05-14,613,ACH,ACH In
33214,333214,2015-05-13,614,Customer Contact,E-mail
33215,333215,2015-05-12,615,Customer Contact,Phone Number
33216,333216,2015-05-11,616,Crypto Transfers,Transfer out
33217,333217,2015-05-10,617,Wire,Wire Out
33218,333218,2015-05-09,618,Crypto Transfers,Transfer out
33219,333219,2015-05-08,619,Wire,Wire Out
33220,333220,2015-05-07,620,Customer Contact,Name
33221,333221,2015-05-06,621,ACAT,ACAT Out
33222,333222,2015-05-05,622,Wire,Wire Out
33223,333223,2015-05-04,623,ACH,ACH In
33224,333224,2015-05-03,624,Customer Contact,Phone Number
33225,333225,2015-05-02,625,Crypto Transfers,Transfer in
33226,333226,2015-05-01,626,ACAT,ACAT Out
33227,333227,2015-04-30,627,Customer Contact,Address
33228,333228,2015-04-29,628,Wire,Wire Out
33229,333229,2015-04-28,629,Wire,Wire In
33230,333230,2015-04-27,630,Wire,Wire Out
33231,333231,2015-04-26,631,ACAT,ACAT In
33232,333232,2015-04-25,632,Crypto Transfers,Transfer in
33233,333233,2015-04-24,633,Crypto Transfers,Transfer out
33234,333234,2015-04-23,634,Customer Contact,Phone Number
33235,333235,2015-04-22,635,Customer Contact,Address
33236,333236,2015-04-21,636,Crypto Transfers,Transfer in
33237,333237,2015-04-20,637,ACH,ACH Out
33238,333238,2015-04-19,638,ACH,ACH In
33239,333239,2015-04-18,639,ACAT,ACAT In
33240,333240,2015-04-17,640,Customer Contact,E-mail
33241,333241,2015-04-16,641,Crypto Transfers,Transfer in
33242,333242,2015-04-15,642,Wire,Wire In
33243,333243,2015-04-14,643,ACH,ACH In
33244,333244,2015-04-13,644,Crypto Transfers,Transfer out
33245,333245,2015-04-12,645,ACAT,ACAT In
33246,333246,2015-04-11,646,Crypto Transfers,Transfer out
33247,333247,2015-04-10,647,Wire,Wire In
33248,333248,2015-04-09,648,ACH,ACH In
33249,333249,2015-04-08,649,Crypto Transfers,Transfer out
33250,333250,2015-04-07,650,ACH,ACH Out
33251,333251,2015-04-06,651,Wire,Wire In
33252,333252,2015-04-05,652,ACAT,ACAT Out
33253,333253,2015-04-04,653,ACH,ACH Out
33254,333254,2015-04-03,654,ACAT,ACAT In
33255,333255,2015-04-02,655,Customer Contact,Phone Number
33256,333256,2015-04-01,656,Customer Contact,Phone Number
33257,333257,2015-03-31,657,Wire,Wire Out
33258,333258,2015-03-30,658,ACH,ACH In
33259,333259,2015-03-29,659,Customer Contact,Address
33260,333260,2015-03-28,660,Crypto Transfers,Transfer out
33261,333261,2015-03-27,661,ACH,ACH In
33262,333262,2015-03-26,662,Crypto Transfers,Transfer in
33263,333263,2015-03-25,663,Customer Contact,Address
33264,333264,2015-03-24,664,Customer Contact,Address
33265,333265,2015-03-23,665,Customer Contact,E-mail
33266,333266,2015-03-22,666,Crypto Transfers,Transfer in
33267,333267,2015-03-21,667,Customer Contact,Name
33268,333268,2015-03-20,668,Customer Contact,Phone Number
33269,333269,2015-03-19,669,Wire,Wire In
33270,333270,2015-03-18,670,ACH,ACH In
33271,333271,2015-03-17,671,ACH,ACH Out
33272,333272,2015-03-16,672,Wire,Wire Out
33273,333273,2015-03-15,673,Wire,Wire Out
33274,333274,2015-03-14,674,Wire,Wire Out
33275,333275,2015-03-13,675,Wire,Wire In
33276,333276,2015-03-12,676,ACH,ACH In
33277,333277,2015-03-11,677,Wire,Wire Out
33278,333278,2015-03-10,678,Customer Contact,Phone Number
33279,333279,2015-03-09,679,Customer Contact,Phone Number
33280,333280,2015-03-08,680,Wire,Wire In
33281,333281,2015-03-07,681,Crypto Transfers,Transfer out
33282,333282,2015-03-06,682,ACH,ACH In
33283,333283,2015-03-05,683,ACAT,ACAT Out
33284,333284,2015-03-04,684,ACH,ACH Out
33285,333285,2015-03-03,685,Wire,Wire In
33286,333286,2015-03-02,686,ACH,ACH In
33287,333287,2015-03-01,687,ACAT,ACAT In
33288,333288,2015-02-28,688,Wire,Wire In
33289,333289,2015-02-27,689,Customer Contact,Phone Number
33290,333290,2015-02-26,690,Wire,Wire Out
33291,333291,2015-02-25,691,Customer Contact,Address
33292,333292,2015-02-24,692,Customer Contact,Phone Number
33293,333293,2015-02-23,693,Crypto Transfers,Transfer in
33294,333294,2015-02-22,694,ACH,ACH Out
33295,333295,2015-02-21,695,ACAT,ACAT Out
33296,333296,2015-02-20,696,Crypto Transfers,Transfer out
33297,333297,2015-02-19,697,Crypto Transfers,Transfer out
33298,333298,2015-02-18,698,Customer Contact,Name
33299,333299,2015-02-17,699,Crypto Transfers,Transfer in
33300,333300,2015-02-16,700,ACH,ACH Out
33301,333301,2015-02-15,701,Crypto Transfers,Transfer out
33302,333302,2015-02-14,702,Crypto Transfers,Transfer in
33303,333303,2015-02-13,703,ACAT,ACAT In
33304,333304,2015-02-12,704,ACH,ACH In
33305,333305,2015-02-11,705,ACAT,ACAT Out
33306,333306,2015-02-10,706,Wire,Wire Out
33307,333307,2015-02-09,707,Customer Contact,Phone Number
33308,333308,2015-02-08,708,ACH,ACH Out
33309,333309,2015-02-07,709,ACH,ACH Out
33310,333310,2015-02-06,710,ACH,ACH In
33311,333311,2015-02-05,711,Customer Contact,Name
33312,333312,2015-02-04,712,ACAT,ACAT Out
33313,333313,2015-02-03,713,ACAT,ACAT In
33314,333314,2015-02-02,714,ACAT,ACAT Out
33315,333315,2015-02-01,715,ACH,ACH In
33316,333316,2015-01-31,716,Crypto Transfers,Transfer in
33317,333317,2015-01-30,717,Customer Contact,Address
33318,333318,2015-01-29,718,Wire,Wire In
33319,333319,2015-01-28,719,ACH,ACH In
33320,333320,2015-01-27,720,Wire,Wire In
33321,333321,2015-01-26,721,ACAT,ACAT Out
33322,333322,2015-01-25,722,ACAT,ACAT Out
33323,333323,2015-01-24,723,Customer Contact,Address
33324,333324,2015-01-23,724,Wire,Wire In
33325,333325,2015-01-22,725,Customer Contact,Phone Number
33326,333326,2015-01-21,726,Customer Contact,Phone Number
33327,333327,2015-01-20,727,Customer Contact,Phone Number
33328,333328,2015-01-19,728,ACAT,ACAT In
33329,333329,2015-01-18,729,Wire,Wire Out
33330,333330,2015-01-17,730,Crypto Transfers,Transfer out
33331,333331,2015-01-16,731,ACH,ACH In
33332,333332,2015-01-15,732,Crypto Transfers,Transfer out
33333,333333,2015-01-14,733,ACH,ACH Out
33334,333334,2015-01-13,734,Crypto Transfers,Transfer out
33335,333335,2015-01-12,735,ACH,ACH In
33336,333336,2015-01-11,736,Customer Contact,Address
33337,333337,2015-01-10,737,Wire,Wire Out
33338,333338,2015-01-09,738,Wire,Wire In
33339,333339,2015-01-08,739,ACAT,ACAT Out
33340,333340,2015-01-07,740,ACAT,ACAT In
33341,333341,2015-01-06,741,ACH,ACH Out
33342,333342,2015-01-05,742,Customer Contact,Phone Number
33343,333343,2015-01-04,743,Customer Contact,Address
33344,333344,2015-01-03,744,ACH,ACH In
33345,333345,2015-01-02,745,Wire,Wire In
33346,333346,2015-01-01,746,Crypto Transfers,Transfer in
33347,333347,2014-12-31,747,Wire,Wire Out
33348,333348,2014-12-30,748,ACAT,ACAT In
33349,333349,2014-12-29,749,Crypto Transfers,Transfer out
33350,333350,2014-12-28,750,ACH,ACH Out
33351,333351,2014-12-27,751,Wire,Wire In
33352,333352,2014-12-26,752,Customer Contact,Phone Number
33353,333353,2014-12-25,753,Wire,Wire In
33354,333354,2014-12-24,754,Wire,Wire In
33355,333355,2014-12-23,755,ACAT,ACAT In
33356,333356,2014-12-22,756,Crypto Transfers,Transfer in
33357,333357,2014-12-21,757,ACH,ACH Out
33358,333358,2014-12-20,758,Customer Contact,Name
33359,333359,2014-12-19,759,ACH,ACH Out
33360,333360,2014-12-18,760,Crypto Transfers,Transfer out
33361,333361,2014-12-17,761,Wire,Wire In
33362,333362,2014-12-16,762,ACH,ACH Out
33363,333363,2014-12-15,763,ACH,ACH In
33364,333364,2014-12-14,764,ACAT,ACAT In
33365,333365,2014-12-13,765,ACAT,ACAT In
33366,333366,2014-12-12,766,Wire,Wire In
33367,333367,2014-12-11,767,Customer Contact,Name
33368,333368,2014-12-10,768,Crypto Transfers,Transfer out
33369,333369,2014-12-09,769,Customer Contact,Address
33370,333370,2014-12-08,770,Wire,Wire In
33371,333371,2014-12-07,771,ACAT,ACAT Out
33372,333372,2014-12-06,772,ACH,ACH In
33373,333373,2014-12-05,773,ACH,ACH In
33374,333374,2014-12-04,774,ACH,ACH In
33375,333375,2014-12-03,775,Customer Contact,Name
33376,333376,2014-12-02,776,Customer Contact,Address
33377,333377,2014-12-01,777,Wire,Wire Out
33378,333378,2014-11-30,778,Customer Contact,Name
33379,333379,2014-11-29,779,ACAT,ACAT In
33380,333380,2014-11-28,780,ACAT,ACAT In
33381,333381,2014-11-27,781,ACH,ACH In
33382,333382,2014-11-26,782,Customer Contact,Phone Number
33383,333383,2014-11-25,783,Crypto Transfers,Transfer out
33384,333384,2014-11-24,784,ACH,ACH In
33385,333385,2014-11-23,785,ACH,ACH Out
33386,333386,2014-11-22,786,ACAT,ACAT In
33387,333387,2014-11-21,787,ACH,ACH Out
33388,333388,2014-11-20,788,ACH,ACH In
33389,333389,2014-11-19,789,ACAT,ACAT In
33390,333390,2014-11-18,790,Wire,Wire In
33391,333391,2014-11-17,791,Customer Contact,Phone Number
33392,333392,2014-11-16,792,Wire,Wire Out
33393,333393,2014-11-15,793,Customer Contact,Name
33394,333394,2014-11-14,794,Crypto Transfers,Transfer in
33395,333395,2014-11-13,795,ACH,ACH Out
33396,333396,2014-11-12,796,Customer Contact,Name
33397,333397,2014-11-11,797,ACAT,ACAT In
33398,333398,2014-11-10,798,Crypto Transfers,Transfer out
33399,333399,2014-11-09,799,Customer Contact,Phone Number
33400,333400,2014-11-08,800,Customer Contact,E-mail
33401,333401,2014-11-07,801,Customer Contact,Name
33402,333402,2014-11-06,802,ACH,ACH In
33403,333403,2014-11-05,803,Customer Contact,Name
33404,333404,2014-11-04,804,ACAT,ACAT Out
33405,333405,2014-11-03,805,Crypto Transfers,Transfer out
33406,333406,2014-11-02,806,ACH,ACH Out
33407,333407,2014-11-01,807,Crypto Transfers,Transfer in
33408,333408,2014-10-31,808,Wire,Wire Out
33409,333409,2014-10-30,809,Wire,Wire In
33410,333410,2014-10-29,810,ACAT,ACAT In
33411,333411,2014-10-28,811,Crypto Transfers,Transfer in
33412,333412,2014-10-27,812,ACH,ACH Out
33413,333413,2014-10-26,813,Customer Contact,E-mail
33414,333414,2014-10-25,814,Crypto Transfers,Transfer out
33415,333415,2014-10-24,815,ACH,ACH Out
33416,333416,2014-10-23,816,ACAT,ACAT In
33417,333417,2014-10-22,817,Crypto Transfers,Transfer out
33418,333418,2014-10-21,818,ACH,ACH Out
33419,333419,2014-10-20,819,ACH,ACH Out
33420,333420,2014-10-19,820,ACAT,ACAT Out
33421,333421,2014-10-18,821,Wire,Wire Out
33422,333422,2014-10-17,822,Wire,Wire Out
33423,333423,2014-10-16,823,Wire,Wire Out
33424,333424,2014-10-15,824,ACH,ACH Out
33425,333425,2014-10-14,825,ACH,ACH Out
33426,333426,2014-10-13,826,Wire,Wire In
33427,333427,2014-10-12,827,Customer Contact,Address
33428,333428,2014-10-11,828,ACAT,ACAT In
33429,333429,2014-10-10,829,Customer Contact,Name
33430,333430,2014-10-09,830,ACAT,ACAT Out
33431,333431,2014-10-08,831,ACAT,ACAT Out
33432,333432,2014-10-07,832,Wire,Wire In
33433,333433,2014-10-06,833,ACH,ACH Out
33434,333434,2014-10-05,834,Crypto Transfers,Transfer in
33435,333435,2014-10-04,835,Crypto Transfers,Transfer out
33436,333436,2014-10-03,836,Crypto Transfers,Transfer in
33437,333437,2014-10-02,837,Wire,Wire Out
33438,333438,2014-10-01,838,Crypto Transfers,Transfer in
33439,333439,2014-09-30,839,ACAT,ACAT In
33440,333440,2014-09-29,840,ACAT,ACAT Out
33441,333441,2014-09-28,841,ACAT,ACAT In
33442,333442,2014-09-27,842,ACH,ACH In
33443,333443,2014-09-26,843,Customer Contact,Name
33444,333444,2014-09-25,844,ACAT,ACAT In
33445,333445,2014-09-24,845,ACAT,ACAT In
33446,333446,2014-09-23,846,Wire,Wire In
33447,333447,2014-09-22,847,Customer Contact,E-mail
33448,333448,2014-09-21,848,ACH,ACH Out
33449,333449,2014-09-20,849,Crypto Transfers,Transfer in
33450,333450,2014-09-19,850,ACH,ACH In
33451,333451,2014-09-18,851,ACH,ACH In
33452,333452,2014-09-17,852,ACH,ACH In
33453,333453,2014-09-16,853,Customer Contact,Name
33454,333454,2014-09-15,854,ACAT,ACAT In
33455,333455,2014-09-14,855,ACH,ACH In
33456,333456,2014-09-13,856,ACAT,ACAT In
33457,333457,2014-09-12,857,ACAT,ACAT Out
33458,333458,2014-09-11,858,ACAT,ACAT Out
33459,333459,2014-09-10,859,Crypto Transfers,Transfer out
33460,333460,2014-09-09,860,ACH,ACH Out
33461,333461,2014-09-08,861,Crypto Transfers,Transfer in
33462,333462,2014-09-07,862,ACH,ACH In
33463,333463,2014-09-06,863,Customer Contact,Phone Number
33464,333464,2014-09-05,864,ACH,ACH In
33465,333465,2014-09-04,865,Customer Contact,E-mail
33466,333466,2014-09-03,866,ACH,ACH Out
33467,333467,2014-09-02,867,Crypto Transfers,Transfer in
33468,333468,2014-09-01,868,ACH,ACH Out
33469,333469,2014-08-31,869,ACAT,ACAT Out
33470,333470,2014-08-30,870,Customer Contact,Name
33471,333471,2014-08-29,871,Crypto Transfers,Transfer out
33472,333472,2014-08-28,872,ACAT,ACAT Out
33473,333473,2014-08-27,873,ACH,ACH In
33474,333474,2014-08-26,874,ACAT,ACAT Out
33475,333475,2014-08-25,875,Crypto Transfers,Transfer in
33476,333476,2014-08-24,876,Customer Contact,E-mail
33477,333477,2014-08-23,877,ACAT,ACAT In
33478,333478,2014-08-22,878,Wire,Wire Out
